data,dia_mes,dia_trabalhado,horas_trabalhadas,km_dia_total,app,corridas,km_app,valor_km_app,receita_app,receita_dia,acumulado,acumulado_com_campanhas,meta_hora,minimo_hora,receita_por_hora_app,receita_por_km_app,corridas_por_hora
2026-05-02,02/mai,1,4.0,50.0,IFOOD,4,22.034,2.32,51.12,133.36,133.36,,,,12.78,2.3200508305346283,1.0
2026-05-02,02/mai,1,4.0,50.0,KEETA,6,27.966,2.941,82.24,133.36,133.36,,,,20.56,2.9407137238074803,1.5
2026-05-03,03/mai,2,6.0,130.0,IFOOD,4,26.257,1.71,44.9,258.22,391.58,,,,7.483333333333333,1.7100201850934986,0.6666666666666666
2026-05-03,03/mai,2,6.0,130.0,KEETA,13,103.743,2.056,213.32,258.22,391.58,,,,35.553333333333335,2.056235119477941,2.1666666666666665
2026-05-05,05/mai,3,6.5,110.0,IFOOD,3,10.249,3.97,40.69,197.36,588.94,,,,6.26,3.970143428627183,0.46153846153846156
2026-05-05,05/mai,3,6.5,110.0,KEETA,14,99.751,1.571,156.67,197.36,588.94,,,,24.10307692307692,1.5706108209441507,2.1538461538461537
2026-05-06,06/mai,4,1.5,20.0,IFOOD,2,11.904,1.88,22.38,33.4,622.34,,,,14.92,1.880040322580645,1.3333333333333333
2026-05-06,06/mai,4,1.5,20.0,KEETA,1,8.096,1.361,11.02,33.4,622.34,,,,7.346666666666667,1.3611660079051382,0.6666666666666666
2026-05-07,07/mai,5,6.0,70.0,IFOOD,11,65.085,1.29,83.96,83.96,706.3,,,,13.993333333333332,1.2900053775831606,1.8333333333333333
2026-05-07,07/mai,5,6.0,70.0,KEETA,0,0.0,0.0,0.0,83.96,706.3,,,,0.0,,0.0
2026-05-14,14/mai,6,3.5,50.0,IFOOD,2,12.077,1.55,18.72,66.2,772.5,,,,5.348571428571428,1.55005382131324,0.5714285714285714
2026-05-14,14/mai,6,3.5,50.0,KEETA,5,37.923,1.252,47.48,66.2,772.5,,,,13.565714285714284,1.252010653165625,1.4285714285714286
2026-05-16,16/mai,7,4.5,150.0,IFOOD,10,49.145,2.2,108.12,125.08,897.58,,,,24.026666666666667,2.200020347949944,2.2222222222222223
2026-05-16,16/mai,7,4.5,150.0,KEETA,1,100.855,0.168,16.96,125.08,897.58,,,,3.768888888888889,0.16816221307818155,0.2222222222222222
2026-05-17,17/mai,8,5.0,120.0,IFOOD,0,0.0,0.0,0.0,283.39,1180.97,,,,0.0,,0.0
2026-05-17,17/mai,8,5.0,120.0,KEETA,11,120.0,2.362,283.39,283.39,1180.97,,,,56.678,2.3615833333333334,2.2
2026-05-18,18/mai,9,2.0,70.0,IFOOD,3,16.007,2.99,47.86,47.86,1228.83,,,,23.93,2.989941900418567,1.5
2026-05-18,18/mai,9,2.0,70.0,KEETA,0,0.0,0.0,0.0,47.86,1228.83,,,,0.0,,0.0
2026-05-20,20/mai,10,7.5,110.0,IFOOD,11,49.775,2.4,119.46,184.48,1413.31,,,,15.927999999999999,2.4,1.4666666666666666
2026-05-20,20/mai,10,7.5,110.0,KEETA,4,60.225,1.08,65.02,184.48,1413.31,,,,8.669333333333332,1.079618098796181,0.5333333333333333
2026-05-21,21/mai,11,4.0,70.0,IFOOD,6,27.302,1.59,43.41,85.71,1499.02,,,,10.8525,1.5899934070764046,1.5
2026-05-21,21/mai,11,4.0,70.0,KEETA,2,42.698,0.991,42.3,85.71,1499.02,,,,10.575,0.9906787203147688,0.5
2026-05-22,22/mai,12,3.5,30.0,IFOOD,0,0.0,0.0,0.0,76.34,1575.36,,,,0.0,,0.0
2026-05-22,22/mai,12,3.5,30.0,KEETA,7,30.0,2.545,76.34,76.34,1575.36,,,,21.81142857142857,2.5446666666666666,2.0
2026-05-26,26/mai,13,3.5,60.0,IFOOD,7,18.507,2.01,37.2,114.58,1689.94,,,,10.62857142857143,2.0100502512562812,2.0
2026-05-26,26/mai,13,3.5,60.0,KEETA,8,41.493,1.865,77.38,114.58,1689.94,,,,22.108571428571427,1.8648928734967343,2.2857142857142856
2026-05-27,27/mai,14,5.0,120.0,IFOOD,1,7.593,1.5,11.39,133.39,1823.33,,,,2.278,1.5000658501251154,0.2
2026-05-27,27/mai,14,5.0,120.0,KEETA,12,112.407,1.085,122.0,133.39,1823.33,,,,24.4,1.0853416602168904,2.4
2026-05-28,28/mai,15,5.5,146.0,IFOOD,0,0.0,0.0,0.0,180.67,2004.0,,,,0.0,,0.0
2026-05-28,28/mai,15,5.5,146.0,KEETA,17,146.0,1.237,180.67,180.67,2004.0,,,,32.849090909090904,1.2374657534246574,3.090909090909091
2026-05-29,29/mai,16,1.5,44.0,IFOOD,0,0.0,0.0,0.0,44.35,2048.35,,,,0.0,,0.0
2026-05-29,29/mai,16,1.5,44.0,KEETA,3,44.0,1.008,44.35,44.35,2048.35,,,,29.566666666666666,1.0079545454545455,2.0
2026-05-30,30/mai,17,4.5,80.0,IFOOD,0,0.0,0.0,0.0,192.99,2241.34,,,,0.0,,0.0
2026-05-30,30/mai,17,4.5,80.0,KEETA,13,80.0,2.412,192.99,192.99,2241.34,,,,42.88666666666667,2.412375,2.888888888888889
2026-05-31,31/mai,18,5.0,100.0,IFOOD,0,0.0,0.0,0.0,251.25,2492.59,,,,0.0,,0.0
2026-05-31,31/mai,18,5.0,100.0,KEETA,12,100.0,2.513,251.25,251.25,2492.59,,,,50.25,2.5125,2.4
